#Filename        start    end    CORR     B   Seq  Keep?  PUMP   Astart  Aend  Bstart   Bend  ChUpdate   Gas  B_Servo   HV    HVS  OTop  MTop  MBot  OBot   Others	   
 59993-60213     59993    60213     2    -1     9     1     35       50    70     240    270         1   100        1   06     30	6     12    15    14
 60252-60486     60252    60486     2    -1     9     1     35       50    70     240    270         1   100        1   10     30	6     12    15    14
 60546-60836     60546    60836     2    -1     9     1     35       50    70     240    270         1   100        1   06     05	6     12    15    14
 60842-61107     60842    61107     2    -1     9     1     35       50    70     240    270         1   100        1   10     05	6     12    15    14
 61200-61430     61200    61430     2     1     9     1     35       50    70     240    270         1   80         1   06     30	6     12    15    14
 61469-61712     61469    61712     2     1     9     1     35       50    70     240    270         1   80         1   10     30	6     12    15    14
 61770-62015     61770    62015     2     1     9     1     35       50    70     240    270         1   80         1   06     05	6     12    15    14
 62059-62323     62059    62323     2     1     9     1     35       50    70     240    270         1   80         1   10     05	6     12    15    14
 62364-62615     62364    62615     2    -1     9     1     35       50    70     240    270         1   80         1   06     30	6     12    15    14
 62654-62877     62654    62877     2    -1     9     1     35       50    70     240    270         1   80         1   10     30	6     12    15    14
 62917-63191     62917    63191     2    -1     9     1     35       50    70     240    270         1   80         1   06     05	6     12    15    14
 63235-63498     63235    63498     2    -1     9     1     35       50    70     240    270         1   80         1   10     05	6     12    15    14
 63537-63819     63537    63819     2     1     9     1     35       50    70     240    270         1   80         1   06     30	6     12    15    14
 63859-64123     63859    64123     2     1     9     1     35       50    70     240    270         1   80         1   06     30	6     12    15    14
 64160-64410     64160    64410     2     1     9     1     35       50    70     240    270         1   80         1   10     30	6     12    15    14
 64449-64705     64449    64705     2     1     9     1     35       50    70     240    270         1   80         1   06     05	6     12    15    14
 64770-65025     64770    65025     2     1     9     1     35       50    70     240    270         1   80         1   10     05	6     12    15    14
 65071-65333     65071    65333     2    -1     9     1     35       50    70     240    270         1   75         1   06     05	6     12    15    14
 65373-65627     65373    65627     2    -1     9     1     35       50    70     240    270         1   75         1   06     05	6     12    15    14
 65665-65904     65665    65904     2    -1     9     1     35       50    70     240    270         1   75         1   10     05	6     12    15    14
 65956-66227     65956    66227     2     1     9     1     35       50    70     240    270         1   75         1   10     30	6     12    15    12
 66279-66540     66279    66540     2     1     9     1     35       50    70     240    270         1   75         1   06     30	6     12    15    12
