#Filename        start    end    CORR     B   Seq  Keep?  PUMP   Astart  Aend  Bstart   Bend  ChUpdate   Gas  B_Servo   HV    HVS  OTop  MTop  MBot  OBot   Others	   
 83100-83310     83100    83310     2     1     12    1     35       50    70     240    270         1   50         1   06     30	6     14    12    15
 83372-83616     83372    83616     2     1     12    1     35       50    70     240    270         1   50         1   10     30	6     14    12    15
 83690-83978     83690    83978     2     1     12    1     35       50    70     240    270         1   50         1   06     05	6     14    12    15
 83983-84252     83983    84252     2     1     12    1     35       50    70     240    270         1   110        1   10     05	6     14    12    15
 84299-84548     84299    84548     2    -1     12    1     35       50    70     240    270         1   110        1   06     30	6     14    12    15
 84582-84864     84582    84864     2    -1     12    1     35       50    70     240    270         1   110        1   10     30	6     14    12    15
 85535-85771     85535    85771     2    -1     12    1     35       50    70     240    270         1   80         1   06     05	6     14    12    15
 85809-86085     85809    86085     2    -1     12    1     35       50    70     240    270         1   80         0   10     05	6     14    12    15
 86122-86397     86122    86397     2     1     12    1     35       50    70     240    270         1   80         1   06     30	6     14    12    15
 86445-86692     86445    86692     2     1     12    1     35       50    70     240    270         1   60         1   10     30	6     14    12    15
 86759-87074     86759    87074     2     1     12    1     35       50    70     240    270         1   60         1   06     05	6     14    12    15
 87095-87334     87095    87334     2     1     12    1     35       50    70     240    270         1   60         1   10     05	6     14    12    15
 87440-87689     87440    87689     2    -1     12    1     35       50    70     240    270         1   80         1   06     30	6     14    12    46
 87727-87935     87727    87935     2    -1     12    1     35       50    70     240    270         1   80         1   10     30	6     14    12    46
 88043-88316     88043    88316     2    -1     12    1     35       50    70     240    270         1   80         1   10     05	6     14    12    46
 88320-88579     88320    88579     2    -1     12    1     35       50    70     240    270         1   80         1   06     05	6     14    12    46
 88651-88884     88651    88884     2    -1     12    1     35       50    70     240    270         1   80         1   06     05	6     14    12    46
 88892-89197     88892    89197     2     1     12    1     35       50    70     240    270         1   80         0   10     05	6     14    12    46
